部分,考试类型,问题类型,问答对,三元组
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,报名篇,问：什么时候可以报名考试？答：具体时间信息请以中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）发布的公告为准。注：2023年度考试报名时间在3月13日-26日。,[]
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,报名篇,问：考生怎样报名？答：满足报考条件的考生需在报名开放时间登录中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/）进行报名。,"['（考生，需满足，报考条件）', '（考生，需在，报名开放时间）', '（考生，登录，同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网）', '（同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网，网址，https://tdxl.neea.edu.cn/）', '（同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网，属于，中国教育考试网）', '（同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试，包含，报名篇）']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：考试安排在什么时间？答：考生可关注“上海招考热线”网站（www.shmeea.edu.cn）—首页—研考成考—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试栏目发布的“20XX年同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试即将举行”公告。具体以准考证信息为准。注：2023年考试时间在5月21日。,"['（上海招考热线，网址，www.shmeea.edu.cn）', '（上海招考热线，包含栏目，研考成考）', '（研考成考，发布考试信息，同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试）', '（同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试，发布公告，20XX年同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试即将举行）', '（同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试，考试时间，2023年考试时间）', '（2023年考试时间，日期，5月21日）', '（同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试，参考依据，准考证）']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：准考证什么时候下载？答：请考生自行关注中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）栏目发布的信息。,"['（同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试，属于，研考成考）', '（准考证，关联，同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试）', '（中国教育考试网，发布信息，同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试）', '（https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm，属于，中国教育考试网）']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：考试有哪些科目？答：外国语水平考试和学科综合水平考试。,"['（同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试，属于，研考成考）', '（同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试，包含科目，外国语水平考试）', '（同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试，包含科目，学科综合水平考试）']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：入场证件有什么要求？答：考生须凭准考证和网上报名所使用的有效身份证件，验证通过后入场参加考试。,"['（研考成考，包含，全国统一考试）', '（全国统一考试，分为，外国语水平）', '（全国统一考试，分为，学科综合水平）', '（同等学力人员，需进行，申请硕士学位）', '（申请硕士学位，需通过，全国统一考试）', '（入场证件要求，需要，准考证）', '（入场证件要求，需要，有效身份证件）']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：考生如果迟到了，最晚什么时候可以进入考场？答：开考 15 分钟后不得入场。,"['（同等学力人员申请硕士学位外国语水平全国统一考试，有时间规则，开考15分钟后不得入场）', '（学科综合水平全国统一考试，有时间规则，开考15分钟后不得入场）', '（开考15分钟后不得入场，限制进入，考场）', '（考生，参加，同等学力人员申请硕士学位外国语水平全国统一考试）', '（考生，参加，学科综合水平全国统一考试）', '（考生，进入，考场）']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：考试可以携带计算器吗？答：部分有需求的科目可携带的考试用品为：绘图仪器、无存储和编程功能的电子计算器等。,"['（同等学力人员申请硕士学位外国语水平全国统一考试，属于，研考成考）', '（学科综合水平全国统一考试，属于，研考成考）', '（科目，可携带，考试用品）', '（考试用品，包括，绘图仪器）', '（考试用品，包括，无存储和编程功能的电子计算器）']"
自学考试,自学考试,结果篇,问：成绩什么时候能查询？答：请考生自行关注中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）发布的信息。,"['（中国教育考试网，包含，https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）', '（同等学力人员申请硕士学位外国语水平全国统一考试，属于，自学考试）', '（学科综合水平全国统一考试，属于，自学考试）', '（成绩查询时间，关联，中国教育考试网）']"
自学考试,自学考试,结果篇,问：在上海教育考试院能查询成绩吗？答：考试成绩在中国教育考试网查询。请考生自行关注中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）发布的信息。,"['（中国教育考试网，包含，同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网）', '（同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网，拥有网址，https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）']"
自学考试,自学考试,结果篇,问：对于成绩不认可，怎样申请复核？么时候可以申请成绩复核？答：考生应在中国教育考试网申请成绩复核。请考生自行关注中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）发布的信息。,"['（自学考试，关联，成绩复核）', '（成绩复核，关联，中国教育考试网）', '（中国教育考试网，关联，同等学力人员申请硕士学位外国语水平考试）', '（中国教育考试网，关联，学科综合水平全国统一考试）', '（同等学力人员申请硕士学位外国语水平考试，关联，学科综合水平全国统一考试）']"
自学考试,自学考试,报名篇,问：自学考试每年举办几次？答：上海市高等教育自学考试一般在每年4月、10月各举行一次统一考试。具体考试安排请关注“上海招考热线”网站（www. shmeea. edu. cn）—首页—自学考试—考试日程相关内容。每次考试一般安排在周六、周日。通常提前半年公告下一次考试各专业各课程的考试日程安排。注：2024年上半年考试安排在4月13日；4月14日；4月20日；下半年考试安排在11月28日；10月29日；11月4日。,[]
自学考试,自学考试,报名篇,问：上海有哪些自学考试主考高校？开设哪些专业？答：2023年上海市共有17所主考高校，开设54个本专科专业。详细情况请关注“上海招考热线”网站（www.shmeea.edu.cn） 首页— 自学考试—政策法规“上海市高等教育自学考试专业分类表（2023年）”注：2023年自学考试专业分类表：https://www.shmeea.edu.cn/download/20230303/101.pdf。,"['（上海市，有，主考高校）', '（主考高校，开设，本专科专业）', '（上海招考热线，提供，政策法规）', '（政策法规，包含，上海市高等教育自学考试专业分类表（2023年））', '（上海市高等教育自学考试专业分类表（2023年），下载链接，https://www.shmeea.edu.cn/download/20230303/101.pdf）']"
自学考试,自学考试,报名篇,问：看到专业表里面有优势专业/常规专业/预警专业/停考过渡专业什么意思？答：（1）优势专业是主考高校重点建设和发展的具有学科优势与特色的专业。该类专业一般以主考高校的优势学科为基础，师资力量雄厚，课程考试大纲和教材顺应学科发展变化，考生规模较大、有较好的社会声誉，鼓励考生积极报考。（2）常规专业是目前发展稳定的专业。这些专业受到主考高校的重视，在专业和课程建设、考务考籍管理、教师队伍配备等方面的质量有保证，考生人数具有一定规模，有较强的社会需求。（3）预警专业是主考高校近期有可能停止发展或进入停考的专业。建议考生慎重报考。（4）停考过渡专业是已经处于停考过渡期的专业。停考过渡期内该专业不接受新考生报考。,"['（优势专业，属于，主考高校）', '（常规专业，属于，主考高校）', '（预警专业，属于，主考高校）', '（停考过渡专业，属于，主考高校）', '（主考高校，重点建设，优势专业）', '（主考高校，重视，常规专业）', '（主考高校，可能停止发展，预警专业）', '（优势专业，具有，课程考试大纲）', '（优势专业，具有，教材）', '（常规专业，具有，考务考籍管理）', '（常规专业，具有，教师队伍）', '（预警专业，建议慎重报考，考生）', '（优势专业，鼓励报考，考生）']"
自学考试,自学考试,报名篇,问：停考过渡专业到完全停考有多久？答：主考高校停考专业设立最长不超过3年的过渡期，过渡期内继续安排该专业的课程考试，3年后不再颁发毕业证书。,"['（主考高校，设立，过渡期）', '（过渡期，安排，课程考试）', '（停考过渡专业，停止颁发，毕业证书）', '（停考过渡专业，过渡期结束，完全停考）']"
自学考试,自学考试,报名篇,问：专业停考后，考生还没有考完专业怎么办？答：如未完成，则相应课程可申请转考至外省市相同专业。,"['（专业停考，属于，自学考试）', '（考生，参与，自学考试）', '（考生，申请，转考）', '（转考，涉及，课程）', '（转考，目标地点，外省市）', '（转考，目标专业，相同专业）']"
自学考试,自学考试,报名篇,问：如何办理省级转考的成绩转出？答：在籍考生离开原报考省（区、市）继续参加高等教育自学考试，须按规定办理省际转考手续。转出程序与要求如下：（1）主考高校每年1月至2月、7月至8月办理转出手续。考生转出手续具体受理时间以主考高校规定为准。（2）考生在“考生服务平台”提交转出申请，并在《高等教育自学考试转考（转出）登记表》上进行签字确认。（3）考生应当在转入地取得一门或者一门以上课程合格成绩，并取得转入地考籍后，再办理转出手续。（4）考生在因违反有关考试管理规定被停考或者延迟毕业期间，不得转出。（5）已经取得某专业全部课程合格成绩的考生，只能在本市办理毕业手续，不得转出。（6）免考取得的课程合格成绩不得转出。未通过理论课程考核的，其对应的实践环节考核成绩不得转出。毕业论文成绩不得转出。证书类课程不得转出。（7）考生办理转入手续未满一年的，不得转出。,"['（主考高校，办理转出手续时间，每年1月至2月', '7月至8月）', '（考生，提交转出申请，考生服务平台）', '（考生，签字确认，《高等教育自学考试转考（转出）登记表》）', '（考生，需满足条件，转入地考籍）', '（考生，不得转出，违反有关考试管理规定被停考）', '（考生，不得转出，延迟毕业期间）', '（考生，不得转出，某专业全部课程合格成绩）', '（免考，不得转出，成绩转出）', '（实践环节考核成绩，不得转出，成绩转出）', '（毕业论文成绩，不得转出，成绩转出）', '（证书类课程，不得转出，成绩转出）', '（考生，不得转出，转入手续未满一年）']"
自学考试,自学考试,报名篇,问：办理省级转考后市考试院什么时候能够审批完成？答：一般是在每年3月上旬。,"['（省级转考，审批机构，市考试院）', '（审批完成，时间，每年3月上旬）', '（省级转考，属于，自学考试）']"
自学考试,自学考试,报名篇,问：如何办理省级转考的成绩转入？答：（1）主考高校自考办每年3月16日至3月25日、9月16日至9月25日接收转入考生电子档案。考生转入手续具体受理时间以主考高校规定为准。（2）考生须本人持有效居民身份证件到主考高校自考办，对转入电子档案信息及办理结果进行现场确认，并在主考高校自考办出具的《高等教育自学考试转考（转入）登记表》上签字。（3）本市停考过渡专业原则上不接受考生转入申请。（4）转考考生应当在本市取得专科不少于5门、本科不少于4门合格成绩（不包括公共基础课程与未通过理论课程考核的实践课程的合格成绩）的基础上，符合主考高校专业转考实施细则规定，方可在本市申办毕业手续。（5）本市在籍考生不得中途到其他省（区、市）借考。本市也不办理考生到其他省（区、市）借考课程成绩转入手续。,"['（主考高校自考办，接收，电子档案）', '（考生，持，有效居民身份证件）', '（主考高校自考办，出具，《高等教育自学考试转考（转入）登记表》）', '（停考过渡专业，不接受，转入申请）', '（公共基础课程，不包括，合格成绩）', '（实践课程，不包括，合格成绩）', '（合格成绩，符合，毕业手续）', '（在籍考生，不得借考，其他省（区', '市））', '（本市，不办理，课程成绩转入手续）']"
自学考试,自学考试,报名篇,问：自学考试主考高校地址和电话联系方式？答：考生可关注“上海招考热线”网站（www.shmeea.edu.cn） 首页—自学考试栏目每次考试报名公告后附的《主考高校联系方式及开考专业》。注：2023年主考高校联系方式为：https://www.shmeea.edu.cn/download/20230815/02.pdf。,"['（上海招考热线，包含，自学考试栏目）', '（自学考试栏目，发布，《主考高校联系方式及开考专业》）', '（2023年主考高校联系方式，存储于，https://www.shmeea.edu.cn/download/20230815/02.pdf）', '（上海招考热线，域名是，www.shmeea.edu.cn）', '（自学考试，关联，上海招考热线）']"
自学考试,自学考试,报名篇,问：如何选择自学考试报考学校和报考专业？答：考生可结合自身工作需要、兴趣爱好、未来发展和现阶段学历层次等方面的情况，选择适合自己的专业。具体专业信息可登录“上海招考热线网站”（www.shmeea.edu.cn）首页—自学考试—政策法规“上海市高等教育自学考试专业分类表（20XX年）”查阅各主考高校的网址了解。,"['（考生，选择，报考学校）', '（考生，选择，报考专业）', '（报考学校，属于，自学考试）', '（报考专业，属于，自学考试）', '（考生，结合，自身工作需要）', '（考生，结合，兴趣爱好）', '（考生，结合，未来发展）', '（考生，结合，现阶段学历层次）', '（上海招考热线网站，包含，政策法规）', '（政策法规，包含，上海市高等教育自学考试专业分类表（20XX年））', '（上海市高等教育自学考试专业分类表（20XX年），涉及，主考高校）', '（主考高校，拥有，网址）', '（上海招考热线网站，网址，www.shmeea.edu.cn）', '（考生，登录，上海招考热线网站）', '（考生，查阅，上海市高等教育自学考试专业分类表（20XX年））']"
自学考试,自学考试,报名篇,问：自学考试报名有条件吗？答：上海市自学考试报名的考生应该是具备上海市户籍或在上海市居住或在上海市工作的人员，报名不受性别、年龄、民族、种族和已受教育程度的限制。但由于考试特点决定，不能独立参加完成考试的人员不建议报考（一般不建议16周岁以下考生报考自学考试）。,"['（自学考试，包含，报名篇）', '（上海市自学考试，属于，自学考试）', '（考生，报名，上海市自学考试）', '（上海市自学考试，需要条件，上海市户籍）', '（上海市自学考试，需要条件，在上海市居住）', '（上海市自学考试，需要条件，在上海市工作的人员）', '（上海市自学考试，不受限制，性别）', '（上海市自学考试，不受限制，年龄）', '（上海市自学考试，不受限制，民族）', '（上海市自学考试，不受限制，种族）', '（上海市自学考试，不受限制，已受教育程度）', '（16周岁以下考生，不建议报考，自学考试）']"
自学考试,自学考试,报名篇,问：自学考试专科和本科可以同时考吗？答：有个别高校的专升本专业（如中医类）要求先取得专科以上学历后才能报考，其他高校没有限制；但专升本申请毕业必须要取得专科的前置学历。,"['（自学考试，包含，专科）', '（自学考试，包含，本科）', '（高校，设置，专升本专业）', '（中医类，属于，专升本专业）', '（专升本专业，申请毕业需要，前置学历）', '（前置学历，要求，专科）']"
自学考试,自学考试,报名篇,问：怎么报名参加自学考试？答：报名采用网上报名形式，考生在规定时间登录“上海招考热线网站”（www.shmeea.edu.cn）首页—考试报名“20XX年上/下半年上海市高等教育自学考试报名”平台内进行报名。,"['（自学考试，包含，报名）', '（报名，采用方式，网上报名）', '（报名，时间要求，规定时间）', '（报名，需登录，上海招考热线网站）', '（上海招考热线网站，拥有网址，www.shmeea.edu.cn）', '（上海招考热线网站，包含平台，20XX年上/下半年上海市高等教育自学考试报名平台）', '（报名，通过平台，20XX年上/下半年上海市高等教育自学考试报名平台）']"
自学考试,自学考试,报名篇,问：什么时候可以开始报名？答：详情请以“上海招考热线网站”（www.shmeea.edu.cn）首页—自学考试—自考新闻公告信息为准。注：2024年上半年自考报名时间2月28号—3月2日9:00—22:00，3月3日9:00—12:00。2023年下半年自考报名时间8月30号—9月2日9:00—22:00，9月3日9:00—12:00。,"['（上海招考热线网站，首页包含，自学考试）', '（www.shmeea.edu.cn，属于，上海招考热线网站）', '（自学考试，有报名时间，2024年上半年自考报名时间）', '（自学考试，有报名时间，2023年下半年自考报名时间）', '（2024年上半年自考报名时间，包含时间段，2月28号—3月2日9:00—22:00）', '（2024年上半年自考报名时间，包含时间段，3月3日9:00—12:00）', '（2023年下半年自考报名时间，包含时间段，8月30号—9月2日9:00—22:00）', '（2023年下半年自考报名时间，包含时间段，9月3日9:00—12:00）']"
自学考试,自学考试,报名篇,问：自学考试有补报名吗？答：没有，如错过本次考试，请考生关注下一次的自学考试。,"['（自学考试，没有，补报名）', '（考生，错过，本次考试）', '（考生，关注，下一次的自学考试）', '（本次考试，属于，自学考试）', '（下一次的自学考试，属于，自学考试）']"
自学考试,自学考试,报名篇,问：报名期间已经缴费的可以申请退费吗？答：请直接联系报名界面的技术支持。,"['（自学考试，包含，报名期间）', '（报名期间，涉及，缴费）', '（缴费，可申请，退费）', '（退费，需联系，技术支持）', '（报名界面，提供，技术支持）']"
自学考试,自学考试,报名篇,"问：因个人原因未能参加考试的,是否可以退还报考费？答：不予退费。","['（自学考试，包含，报名篇）', '（报名篇，涉及，报考费）', '（个人原因，导致无法参加，考试）']"
自学考试,自学考试,报名篇,问：什么是免考？哪些课程可以免考？如何办理免考手续？答：符合课程免考条件者，可以按照《上海市高等教育自学考试课程免考规定》及主考高校相关要求，申请免考所报考专业考试计划中规定的课程。申请免考的自考生须取得所学专业六门及以上理论课程合格成绩后方可申请办理课程免考手续。考生办理免考应在主考高校规定的时间内提出申请。填写《上海市高等教育自学考试申请免考登记表》，提供必要的正本证明材料（毕业证书，原所在高校的校级学籍管理部门出具的课程名称及成绩证明等）。经主考高校查验核准后，分别于每年的6月或12月汇总，报上海市高等教育自学考试办公室审核批准。,"['（免考，依据，上海市高等教育自学考试课程免考规定）', '（免考手续，办理机构，主考高校）', '（免考手续，前置条件，理论课程合格成绩）', '（免考手续，需要材料，毕业证书）', '（免考手续，需要材料，课程名称及成绩证明）', '（主考高校，报送，上海市高等教育自学考试办公室）']"
自学考试,自学考试,考试篇,问：自学考试教材和考纲信息从哪里获取？答：自学考试教材和考纲信息来源可分如下两类：	（1）主考高校的公告。（2）上海市教育考试院的公告“上海招考热线”网站（www.shmeea.edu.cn）首页—自学考试—大纲教材。,"['（主考高校，发布，公告）', '（上海市教育考试院，发布，公告）', '（上海招考热线网站，属于，上海市教育考试院）', '（上海招考热线网站，网址，www.shmeea.edu.cn）', '（上海招考热线网站，包含，首页）', '（首页，包含，自学考试）', '（自学考试，包含，大纲教材）']"
自学考试,自学考试,考试篇,问：自学考试教材在哪里可以买到？答：自考教材可从博益网：http://www.boeebook.cn/购买。,"['（自学考试教材，可购买于，博益网）', '（博益网，网址，http://www.boeebook.cn/）']"
自学考试,自学考试,考试篇,问：准考证哪里下载？什么时候下载？答：考生可在规定时间内登录“上海招考热线网站”（www.shmeea.edu.cn）首页—考试报名—“20XX年上/下半年上海市高等教育自学考试准考证下载”平台内下载。注：2023年下半年自考准考证下载时间是10月20日9：00起。,"['（考生，下载，准考证）', '（考生，登录，上海招考热线网站）', '（上海招考热线网站，包含栏目，考试报名）', '（考试报名，提供下载平台，20XX年上/下半年上海市高等教育自学考试准考证下载平台）', '（准考证，下载平台，20XX年上/下半年上海市高等教育自学考试准考证下载平台）', '（2023年下半年自考准考证下载时间，开始时间，10月20日9:00）', '（上海招考热线网站，网址，www.shmeea.edu.cn）']"
自学考试,自学考试,考试篇,问：自学考试中有哪些考场规则和注意事项？答：考生可在“上海招考热线”网站查看考场规则，“上海招考热线网站”（www.shmeea.edu.cn）首页—自学考试—自考新闻栏目“20XX年上/下半年上海市高等教育自学考试考前提示”查看公告内附件《20XX年上/下半年上海市高等教育自学考试考场规则》《20XX年上/下半年上海市高等教育自学考试考生答题注意事项》。同时随准考证向每个考生发放考试注意事项，作为对考生的提醒。请所有考生务必在考前仔细阅读上述考场规则与注意事项，避免在考试期间出现违规行为。,"['（上海招考热线网站，提供查询入口，考场规则）', '（上海招考热线网站，提供查询入口，考生答题注意事项）', '（上海招考热线网站，是官网，www.shmeea.edu.cn）', '（自学考试，包含，考场规则）', '（自学考试，包含，考生答题注意事项）', '（准考证，随附发放，考试注意事项）']"
自学考试,自学考试,考试篇,问：考生如果迟到了，最晚什么时候可以进入考场？答：考生迟到15分钟后不准进入考点参加当次科目考试，交卷出场时间不得早于每科目考试结束前30分钟。,"['（考生，迟到超过，15分钟）', '（考生，不准进入，考点）', '（考生，不准参加，当次科目考试）', '（交卷出场时间，不得早于，考试结束前30分钟）']"
自学考试,自学考试,考试篇,问：考生身份证遗失如何进入考点？答：本人有效证件原件含：居民身份证（含有效期内的临时身份证）、有照片的社保卡、驾驶证、护照、军人证、港澳台居民居住证、外国人永久居留证。电子身份证不作为考试入场有效证件使用。,"['（考生，进入，考点）', '（居民身份证，作为有效证件，考点）', '（有效期内的临时身份证，作为有效证件，考点）', '（有照片的社保卡，作为有效证件，考点）', '（驾驶证，作为有效证件，考点）', '（护照，作为有效证件，考点）', '（军人证，作为有效证件，考点）', '（港澳台居民居住证，作为有效证件，考点）', '（外国人永久居留证，作为有效证件，考点）', '（电子身份证，不作为有效证件，考点）']"
自学考试,自学考试,考试篇,问：自学考试可以携带计算器吗？答：考生可查看“上海招考热线网站”（www.shmeea.edu.cn）首页—自学考试—自考新闻—“20XX年上/下半年上海市高等教育自学考试考前提示”信息内查看附件《20XX年上/下半年上海市高等教育自学考试可用计算器课程清单》。自学考试不可以携带有电子存储记忆功能、收发信息功能、图像显示功能的计算器。,"['（自学考试，可查看信息，上海招考热线网站）', '（上海招考热线网站，官网网址，www.shmeea.edu.cn）', '（考生，可查看，上海招考热线网站）', '（自学考试，不可携带，计算器）', '（计算器，具有功能，电子存储记忆功能）', '（计算器，具有功能，收发信息功能）', '（计算器，具有功能，图像显示功能）']"
自学考试,自学考试,考试篇,问：考试现场没有钟表，考生可以自己带手表进入考场吗？答：见秋考93问。,"['（考生，参加，自学考试）', '（自学考试，发生在，考场）', '（考场，禁止携带，手表）', '（考场，携带规则参考，秋考93问）']"
自学考试,自学考试,考试篇,问：申请合理便利的残疾考生所携带的助听器、人工耳蜗、拐杖、轮椅等可正常通过安检吗？答：见秋考94问。,"['（考试篇，属于，自学考试）', '（残疾考生，申请，合理便利）', '（合理便利，允许携带，助听器）', '（合理便利，允许携带，人工耳蜗）', '（合理便利，允许携带，拐杖）', '（合理便利，允许携带，轮椅）', '（秋考94问，解答，安检）']"
自学考试,自学考试,考试篇,问：考生有低血糖或听力障碍，腿脚不便等问题，该如何申请合理化便利？答：请考生提前将自身情况向主考高校反映,"['（考生，有，低血糖）', '（考生，有，听力障碍）', '（考生，有，腿脚不便）', '（考生，申请，合理化便利）', '（考生，参加，自学考试）', '（考生，反映，主考高校）']"
自学考试,自学考试,考试篇,问：考试缺考影响下一次报考吗？答：不影响下次考试，建议没有特殊原因不要缺考。,"['（缺考，不影响，下次考试）', '（特殊原因，允许，缺考）']"
自学考试,自学考试,考试篇,问：考试违纪或作弊影响下一次报考吗？答：要看违纪情况。如情节严重的，会给予“停考X年”的处罚。,"['（考试违纪，导致，停考X年）', '（作弊，导致，停考X年）', '（违纪情况，包含，情节严重）', '（情节严重，导致，停考X年）', '（停考X年，影响，下一次报考）', '（考试违纪，属于，自学考试）', '（作弊，属于，自学考试）', '（下一次报考，属于，自学考试）', '（停考X年，属于，自学考试）', '（违纪情况，属于，自学考试）']"
自学考试,自学考试,成绩、毕业篇,问：考试成绩什么时候可以查看？答：自考成绩公布时间一般为每年的6月1日和12月1日。,"['（自学考试，包含，考试成绩）', '（自考成绩公布时间，定为，6月1日）', '（自考成绩公布时间，定为，12月1日）', '（考试成绩，公布时间，自考成绩公布时间）']"
自学考试,自学考试,成绩、毕业篇,问：自考成绩在哪里查询？答：考生可于规定时间登录上海市教育考试院官网（网址：www.shmeea.edu.cn，点击首页“成绩查询”栏目进入“上海市20XX年上/下半年自学考试成绩查询”，选择“线路”进入，输入本人高等教育自学考试准考证号和身份证号）进行查询。,"['（自学考试，包含，成绩）', '（自学考试，包含，毕业篇）', '（上海市教育考试院官网，提供，成绩查询）', '（上海市教育考试院官网，官网网址，www.shmeea.edu.cn）', '（成绩查询，需要验证，准考证号）', '（成绩查询，需要验证，身份证号）']"
自学考试,自学考试,成绩、毕业篇,问：对自考成绩有疑义？答：可在规定时间向主考高校申请成绩复核，具体复核时间与复核方式由主考高校确定。成绩复核只核查答题卡姓名、准考证号是否与考生本人对应，试卷有无漏评、漏阅，小题得分是否漏统（登），各小题得分合成后是否与提供给考生的成绩一致等；不重新评阅答卷；不查阅答卷。注：2023年上半年成绩复核时间6月2日至6月4日。,"['（成绩复核，申请对象，主考高校）', '（成绩复核，核查内容，准考证号）', '（成绩复核，核查内容，答题卡）', '（成绩复核，复核时间，6月2日至6月4日）', '（6月2日至6月4日，属于，2023年上半年成绩复核时间）', '（考生，申请主体，成绩复核）', '（成绩复核，评估对象，试卷）']"
自学考试,自学考试,成绩、毕业篇,问：如何查看往年考试成绩？答：“上海招考热线网站”（www.shmeea.edu.cn）首页—自学考试—服务平台跳转至“上海市高等教育自学考试考生服务平台”（https://ste.shmeea.edu.cn/）查询考生本人历年考试通过的成绩。没有通过的考试成绩只能在当年考后的时限内进行查询。,"['（上海招考热线网站，关联，www.shmeea.edu.cn）', '（上海招考热线网站，包含，自学考试）', '（自学考试，跳转至，服务平台）', '（服务平台，跳转至，上海市高等教育自学考试考生服务平台）', '（上海市高等教育自学考试考生服务平台，关联，https://ste.shmeea.edu.cn/）', '（上海市高等教育自学考试考生服务平台，可查询，历年考试通过的成绩）', '（没有通过的考试成绩，查询时间限制，当年考后的时限）']"
自学考试,自学考试,成绩、毕业篇,问：通过考生服务平台查询不到考试成绩？答：请联系主考高校确认。,"['（自学考试，包含，成绩）', '（自学考试，包含，毕业篇）', '（考生服务平台，查询，考试成绩）', '（主考高校，确认，考试成绩）']"
自学考试,自学考试,成绩、毕业篇,问：申请毕业的条件是什么？答：申请毕业须满足以下条件：（1）考完专业考试计划规定的全部课程，并取得合格成绩。（2）完成规定的毕业论文（设计）或者其他实践性环节学习任务，并取得合格成绩。（3）所取得的学分达到专业考试计划规定的要求。（4）经有关单位鉴定思想品德合格。（5）课程免考、课程替换符合规定。（6）申请自学考试专升本专业毕业的考生，须持具有学历教育资格的高等学校、高等教育自学考试机构颁发的高职（专科）（及以上）学历证书。（7）符合相关法律、法规的其他要求。,"['（申请毕业的条件，包含，专业考试计划）', '（申请毕业的条件，包含，毕业论文（设计））', '（申请毕业的条件，包含，实践性环节学习任务）', '（申请毕业的条件，要求，学分）', '（申请毕业的条件，需要，思想品德鉴定）', '（申请毕业的条件，涉及，课程免考）', '（申请毕业的条件，涉及，课程替换）', '（自学考试专升本专业，关联，学历证书）']"
自学考试,自学考试,成绩、毕业篇,问：如何办理毕业申请？答：毕业申请时间：原则上，上半年下半年各一次，具体时间一般为每年的6月中旬和12月中旬，具体见主考高校官网公告。考生因个人原因未能在规定时间内申请办理毕业手续，当次不予补办，可参加下一批毕业手续的办理。考生毕业申请流程：（1）考生须登陆“上海市高等教育自学考试考生服务平台”（https://ste.shmeea.edu.cn/）完善个人身份信息后提交毕业申请。（2）本科毕业生须在“考生服务平台”“上海市高等教育自学考试考生服务平台”输入毕业证书编号，授权并验证学历，如验证不通过，则须上传专科及专科以上学历证书，以及由中国高等教育学生信息网（http://www.chsi.com.cn/）出具的《教育部学历证书电子注册备案表》或《中国高等教育学历认证报告》。（3）在“考生服务平台”提交主考高校考试计划所规定的其他相关材料。,"['（毕业申请，申请时间，时间）', '（毕业申请，提交途径，考生服务平台）', '（考生服务平台，全称，上海市高等教育自学考试考生服务平台）', '（中国高等教育学生信息网，出具，教育部学历证书电子注册备案表）', '（中国高等教育学生信息网，出具，中国高等教育学历认证报告）', '（主考高校，制定要求，毕业申请）']"
